Year,Month,Day,Partner,Number of parcels
2022,8,27,INTELECT,2
2022,8,27,ITD,22
2022,8,27,ORIAN,7
2022,8,27,UPS-USA,163
2022,8,26,BUZZR,134
2022,8,26,CHEETAH,802
2022,8,26,DeutschePost,4
2022,8,26,EPO,432
2022,8,26,HFD,6
2022,8,26,INTELECT,468
2022,8,26,ITD,71
2022,8,26,ORIAN,93
2022,8,26,UPS-USA,609
2022,8,25,BUZZR,1193
2022,8,25,CHEETAH,3712
2022,8,25,EPO,1272
2022,8,25,HFD,27
2022,8,25,INTELECT,1777
2022,8,25,ITD,56
2022,8,25,Israel,26
2022,8,25,ORIAN,669
2022,8,25,UPS-USA,390
2022,8,24,BUZZR,1243
2022,8,24,CHEETAH,5725
2022,8,24,EPO,961
2022,8,24,HFD,33
2022,8,24,INTELECT,1048
2022,8,24,ITD,88
2022,8,24,Israel,68
2022,8,24,ORIAN,1678
2022,8,24,UPS-USA,181
2022,8,23,BUZZR,1292
2022,8,23,CHEETAH,6083
2022,8,23,EPO,1561
2022,8,23,HFD,36
2022,8,23,INTELECT,524
2022,8,23,ITD,19
2022,8,23,Israel,470
2022,8,23,ORIAN,2188
2022,8,23,UPS-USA,343
2022,8,22,BUZZR,1340
2022,8,22,CHEETAH,5058
2022,8,22,EPO,1437
2022,8,22,HFD,13
2022,8,22,INTELECT,903
2022,8,22,ITD,102
2022,8,22,Israel,31
2022,8,22,ORIAN,1546
2022,8,22,UPS-USA,321
2022,8,21,BUZZR,1011
2022,8,21,CHEETAH,4953
2022,8,21,EPO,1502
2022,8,21,HFD,20
2022,8,21,INTELECT,1278
2022,8,21,ITD,4
2022,8,21,Israel,59
2022,8,21,ORIAN,605
2022,8,21,UPS-USA,17
2022,8,20,BUZZR,2
2022,8,20,CHEETAH,25
2022,8,20,EPO,8
2022,8,20,ITD,2
2022,8,20,Israel,1
2022,8,20,ORIAN,1
2022,8,20,UPS-USA,4
